"","run_ind","exp_ind","experiment","dataset","seed","RMSE","ASSOC","RMSE_t","ASSOC_t","RMSE_t2","ASSOC_t2","RMSE_ADNI","ASSOC_ADNI","RMSE_UCL","ASSOC_UCL","RMSE_EPAD","ASSOC_EPAD","RMSE_ADNI_CN","ASSOC_ADNI_CN","RMSE_ADNI_MCI","ASSOC_ADNI_MCI","RMSE_ADNI_AD","ASSOC_ADNI_AD","exp_grp"
"1",1,1,"gpr_age","ukbb",4560,303.314902010793,0.421705972656361,308.054044967897,0.385095984453939,333.862226481349,0.46725763610467,344.200720713594,0.459435888504268,315.312751890595,0.116658304329943,323.523732249103,0.475079383705071,358.334202645645,0.435470751731125,331.564499896654,0.506259479869073,358.335392680168,0.520789109991619,1
"2",2,1,"gpr_age","ukbb",4561,305.052236942109,0.408268304445107,306.379160480062,0.397370029361966,333.803564506188,0.46361389075188,345.336664038499,0.44888020913175,315.2468228016,0.0444496691587609,322.270464973877,0.47834757237201,357.173038702947,0.42245403140907,333.188621479474,0.491044214401479,362.056176388099,0.513450859587741,1
"3",3,1,"gpr_age","ukbb",4562,301.542948432326,0.428388612608608,309.609191626395,0.379342410948613,333.373821320215,0.465545014418323,344.337049158509,0.453502632614858,315.334123135441,0.0905144158123872,322.41059348192,0.477587396221788,357.143663980423,0.428612660906605,330.57917868375,0.50620840908724,364.099397453978,0.504814461875961,1
"4",4,1,"gpr_age","ukbb",4563,302.212398591,0.423466431944437,309.610449295077,0.380321585485766,332.985017769356,0.467419631552496,342.214050929941,0.462860582125246,320.96163406496,0.0165838259337685,323.755984608771,0.471978680979747,353.456107731841,0.440502763081053,329.303393162137,0.512162674798845,362.193419596383,0.510481841502492,1
"5",5,1,"gpr_age","ukbb",4564,304.323528871038,0.423920557576883,307.257996788251,0.381940752173108,333.560840609277,0.466810806528055,344.284365705368,0.456801976513528,314.743457051972,0.0896805216902083,322.837315513186,0.476819636542581,357.282918439851,0.445238833041584,330.728000941987,0.509207618580353,363.124112753057,0.501568516385168,1
"6",6,1,"gpr_age","ukbb",4565,302.230329272063,0.426228942819913,309.550662259651,0.378377392957959,331.483817321984,0.466502723301322,342.264891302644,0.457302272132261,313.065521283211,0.113843260876052,320.702743341324,0.475703174470382,353.636290551737,0.430675666731498,328.405793448252,0.508746495194268,364.782163073182,0.516597931937351,1
"7",7,1,"gpr_age","ukbb",4566,301.504443128466,0.422542731062344,310.403137037431,0.380152555743249,332.754273439096,0.462473521146795,341.663330550816,0.456812403520762,316.926810632146,0.089818824087738,323.845216327375,0.468134638772827,349.920303294355,0.423959205826234,328.147912115585,0.511403911679858,368.464594854389,0.503376467863516,1
"8",8,1,"gpr_age","ukbb",4567,302.056840728518,0.426586505107428,309.02360031383,0.381727378288307,334.526767369554,0.464511803213116,345.942500339565,0.453435469499587,314.005310439804,0.0964682456505329,323.111034399543,0.475588136926644,359.508466558946,0.440222303681294,333.303071949412,0.500786344336367,361.094161553915,0.502791004339427,1
"9",9,1,"gpr_age","ukbb",4568,302.097531821575,0.418410926314081,309.096500266693,0.388587246697327,333.787973998455,0.456889629930682,344.065758171616,0.445941063335767,312.829890077345,0.137261068705684,323.510189825295,0.467838196525598,352.354552484181,0.427750878538526,331.406243314601,0.49490054526826,368.36194770664,0.501410699886486,1
"10",10,1,"gpr_age","ukbb",4569,301.840542945218,0.424545447876126,309.933030339647,0.379030696109024,333.647925212034,0.464113564389408,343.811549118419,0.455612313533036,313.884390127332,0.0987794559663128,323.48430130565,0.472614815245779,356.028087241438,0.432580164854135,331.007819555632,0.503159221121986,361.798208915975,0.514855064962518,1
