"","Models Compared","table","eval_col","test_category","num_visits","Effect Size","LMM P-value","no-shift vs shift","shift-time vs no-shift-time","Effect Size No-Extreme","LMM P-value No-Extreme","no-shift vs shift No-Extreme","shift-time vs no-shift-time No-Extreme"
"1","model 17 vs 1","adni","","MMSE","6.69206842923795","0.0367796661979276","0.015511822469612","3.36e-02","1.55e-02","0.0412321194667731","0.0917975068061668","1.73e-01","9.16e-02"
"2","model 17 vs 1","adni","","CDRSB","6.73872472783826","-0.019631488637402","0.00465581008318788","1.69e-02","4.65e-03","-0.0210386425692976","0.0659038249199867","1.36e-01","6.58e-02"
"3","model 17 vs 1","adni","","EcogSPTotal","5.56093489148581","-0.00104270293064093","0.0947401636689458","2.05e-01","9.46e-02","-0.00102762038915142","0.295265983185124","5.12e-01","2.95e-01"
"4","model 17 vs 1","adni","","ADAS13","6.49438202247191","-0.215400614308808","0.0413129622874769","7.16e-02","4.1e-02","-0.246483234793151","0.163041247362054","1.31e-01","1.63e-01"
"5","model 17 vs 1","adni","","MOCA","5.46699669966997","0.0326750716504244","0.0752128136971181","1.07e-01","7.43e-02","0.0295943067400988","0.284191563704815","5.12e-02","2.83e-01"
"6","model 17 vs 1","adni","","GDTOTAL","6.64074650077761","-0.00536345527510233","0.138241762664658","2.65e-01","1.38e-01","-0.00236841492989552","0.679827802957805","2.62e-01","6.8e-01"
"7","model 17 vs 1","adni","","PTAU","2.28630705394191","0.510928875893587","0.0188618356830096","9.45e-03","1.82e-02","0.623310792727436","0.0720965103136646","1.19e-01","7.33e-02"
"8","model 17 vs 1","adni","","TAU","2.28630705394191","29.2567845417121","0.0674415070232627","2.14e-02","6.61e-02","33.7025715028013","0.170826893841934","1.98e-01","1.74e-01"
"9","model 17 vs 1","adni","","ABETA","2.28630705394191","-223.930481763032","0.360210875585122","3.06e-01","3.61e-01","193.203152566025","0.614487916639865","8.76e-01","6.15e-01"
"10","model 17 vs 1","adni","","COMBINED PVALUES","0","8","0","0","3.50641897904591e-06","8","0","0","0.0195652358089867"
"11","model 17 vs 1","adni","_memory","EcogSPMem","5.55241264559068","-0.0013496926908077","0.102723516585217","1.67e-01","1.02e-01","-0.00123786215576827","0.326532249347799","3.99e-01","3.26e-01"
"12","model 17 vs 1","adni","_memory","MMSE_RECALL","5.89735614307932","-0.00481952598476832","0.012082494654045","1.25e-02","1.18e-02","-0.00636713035526918","0.0366948155879881","7.48e-02","3.66e-02"
"13","model 17 vs 1","adni","_memory","ADAS_MEMORY","6.54414125200642","-0.056954019027922","0.0982802988710184","8.31e-02","9.76e-02","-0.058505005523155","0.308024551511111","1.93e-01","3.07e-01"
"14","model 17 vs 1","adni","_memory","MOCA_MEMORY","5.47723440134907","0.0332663348613901","0.159062955419464","3.69e-01","1.58e-01","0.0418641816321117","0.210692738898598","3.04e-01","2.1e-01"
"15","model 17 vs 1","adni","_memory","CDMEMORY","6.80715396578538","-0.000503193030983776","0.0914622969385649","2.29e-01","9.13e-02","-0.000903234801897287","0.045487474107523","1.31e-01","4.5e-02"
"16","model 17 vs 1","adni","_memory","COMBINED PVALUES","0","5","0","0","0.000677338619963226","5","0","0","0.0094546052741955"
