"","models compared","table","eval_col","test_category","num_visits","Effect Size","LMM P-value","no-shift vs shift","shift-time vs no-shift-time","Effect Size No-Extreme","LMM P-value No-Extreme","no-shift vs shift No-Extreme","shift-time vs no-shift-time No-Extreme"
"1","model 17 vs 1","adni","","MMSE","6.28609625668449","0.0814726063697954","0.00019016820229904","8.88e-04","1.78e-04","0.12642905418181","0.000711086792371934","1.83e-03","6.42e-04"
"2","model 17 vs 1","adni","","CDRSB","6.33689839572193","-0.0356910991571912","0.000700478423558735","3.13e-03","6.85e-04","-0.053370166082213","0.00214665877973932","5.88e-03","2.05e-03"
"3","model 17 vs 1","adni","","EcogSPTotal","5.26884779516358","-0.00150290548900581","0.0373218411412685","6.83e-02","3.74e-02","-0.00178373219990544","0.114791461569257","1.03e-01","1.14e-01"
"4","model 17 vs 1","adni","","ADAS13","6.03059805285118","-0.384301323560359","0.00398165067898455","1.36e-02","3.82e-03","-0.553734282291113","0.0174656010251098","7.73e-03","1.7e-02"
"5","model 17 vs 1","adni","","MOCA","5.16901408450704","0.0814890463904135","0.00100621184521368","9.55e-04","8.95e-04","0.0802781996943496","0.0351321740900323","5.84e-04","3.41e-02"
"6","model 17 vs 1","adni","","GDTOTAL","6.2379679144385","-0.00543687937891668","0.129093489233918","2.74e-01","1.29e-01","-0.00359110403027808","0.522509884842572","2.42e-01","5.22e-01"
"7","model 17 vs 1","adni","","PTAU","2.27710843373494","0.508489774574924","0.0208919507194506","1.02e-02","2.01e-02","0.628547839840578","0.0725161590781316","1.02e-01","7.38e-02"
"8","model 17 vs 1","adni","","TAU","2.27710843373494","28.7661404519335","0.0759773399336857","2.25e-02","7.49e-02","33.7418774960421","0.176429684888469","1.6e-01","1.79e-01"
"9","model 17 vs 1","adni","","ABETA","2.27710843373494","-232.645254862159","0.338800726499728","2.9e-01","3.39e-01","164.157001968874","0.664538913018531","8.89e-01","6.66e-01"
"10","model 17 vs 1","adni","","COMBINED PVALUES","0","8","0","0","5.60241638715815e-10","8","0","0","1.86208759456434e-05"
"11","model 17 vs 1","adni","_memory","EcogSPMem","5.26241134751773","-0.00166045513930309","0.0653664007579285","8.87e-02","6.5e-02","-0.00167918897606596","0.222069932572895","1.26e-01","2.21e-01"
"12","model 17 vs 1","adni","_memory","MMSE_RECALL","5.60026737967914","-0.00520131869377147","0.0104861551161631","5.77e-03","1.02e-02","-0.00612410037326151","0.0598551814573584","1.71e-02","6.01e-02"
"13","model 17 vs 1","adni","_memory","ADAS_MEMORY","6.06805555555556","-0.0711242777697216","0.0540238026979479","5.73e-02","5.33e-02","-0.0761607902408322","0.225301177048064","3.11e-02","2.24e-01"
"14","model 17 vs 1","adni","_memory","MOCA_MEMORY","5.13411078717201","0.0404346663915317","0.10006836538471","2.01e-01","9.88e-02","0.0455597425579919","0.192051203556797","9.76e-02","1.91e-01"
"15","model 17 vs 1","adni","_memory","CDMEMORY","6.39839572192513","-0.00103511488881285","0.00334157635124321","8.56e-03","3.17e-03","-0.00150310491031094","0.00529818916275083","7.29e-03","5.03e-03"
"16","model 17 vs 1","adni","_memory","COMBINED PVALUES","0","5","0","0","1.15417072769249e-05","5","0","0","0.00174973683783405"
