"","model-shift","table","test_cat","test_name","slope","p-val","slope-no-extreme","p-val-no-extreme"
"1","model 17 vs 1","adni","","MMSE.bl","0.0288661485576809","0.0114971407491742","0.0499672439525141","0.01021266184436"
"2","model 17 vs 1","adni","","CDRSB.bl","-0.0226146220556944","0.00187248783821158","-0.0349236986809348","0.00387019829103013"
"3","model 17 vs 1","adni","","EcogSPTotal.bl","-0.0075310351617022","0.0219294744340873","-0.0113641940255002","0.0408651185532683"
"4","model 17 vs 1","adni","","ADAS13.bl","-0.135380104992316","0.00087303187799235","-0.24969184797443","0.000339695794032786"
"5","model 17 vs 1","adni","","MOCA.bl","0.0533967732339167","0.00579886616915726","0.130590283495947","6.82995159894586e-05"
"6","model 17 vs 1","adni","","GDTOTAL.bl","0.00605943980532607","0.388083650145095","-0.0106284822099604","0.376547221422642"
"7","model 17 vs 1","adni","","PTAU.bl","-0.0756113427005714","0.291871194127519","-0.0825999055959558","0.488856715643903"
"8","model 17 vs 1","adni","","TAU.bl","-0.822972002848562","0.213382315422612","-0.990524205044769","0.364604934831585"
"9","model 17 vs 1","adni","","ABETA.bl","3.13638543548444","0.187985346446717","1.83262998305437","0.652289062771322"
"10","model 17 vs 1","adni","","COMBINED PVALUES","8","6.98242772259086e-07","8","3.86476485316427e-06"
"11","model 17 vs 1","adni","_memory","EcogSPMem.bl","-0.00918349557408663","0.0228820760496394","-0.0141524372594698","0.0379091465430161"
"12","model 17 vs 1","adni","_memory","MMSE_RECALL.bl","-0.0105981144248651","0.0247061426049957","-0.0179511304004737","0.0228778913703732"
"13","model 17 vs 1","adni","_memory","ADAS_MEMORY.bl","-0.0909069982561555","0.00136965048471899","-0.148407992356563","0.00207338489811092"
"14","model 17 vs 1","adni","_memory","MOCA_MEMORY.bl","0.0384821984992811","0.0705744349022668","0.104423813715741","0.0034748574076488"
"15","model 17 vs 1","adni","_memory","CDMEMORY.bl","-0.00464895412860457","0.00637446697969923","-0.00739452875496843","0.00998870827982326"
"16","model 17 vs 1","adni","_memory","COMBINED PVALUES","5","5.2045001076828e-07","5","9.08461362489734e-08"
"17","model 17 vs 1","adni","_language","EcogSPLang.bl","-0.00437110887008858","0.205544604727866","-0.00918607208774236","0.114781121287145"
"18","model 17 vs 1","adni","_language","MMSE_LANGUAGE.bl","-0.00312617114731323","0.309472501716191","-0.00216036933833878","0.682799582895699"
"19","model 17 vs 1","adni","_language","ADAS_LANGUAGE.bl","-0.0122087498355745","0.0398854882843569","-0.0322058249888357","0.00203517075312142"
"20","model 17 vs 1","adni","_language","MOCA_LANGUAGE.bl","0.0248734714622605","0.32594449707589","0.0268731341632891","0.53096756314121"
"21","model 17 vs 1","adni","_language","COMBINED PVALUES","4","0.0390988757228755","4","0.0391657087992348"
