"","model-shift","table","test_cat","test_name","slope","p-val","slope-no-extreme","p-val-no-extreme"
"1","model 17 vs 1","adni","","MMSE.bl","0.0143617998045662","0.0827132464260716","0.0140812990352214","0.323075415846476"
"2","model 17 vs 1","adni","","CDRSB.bl","-0.0103285547676575","0.0410036945731078","-0.0125558957907753","0.139442168635653"
"3","model 17 vs 1","adni","","EcogSPTotal.bl","-0.00401096780202205","0.183508721000708","-0.00297931480519697","0.558874065773239"
"4","model 17 vs 1","adni","","ADAS13.bl","-0.0814332612282894","0.00847711825264247","-0.097160662341912","0.0626067585980832"
"5","model 17 vs 1","adni","","MOCA.bl","0.0197687333221516","0.215072668411227","0.0629778518971986","0.0184001609535548"
"6","model 17 vs 1","adni","","GDTOTAL.bl","0.00816007770410201","0.292105710091904","-0.0147781294304002","0.266901623699965"
"7","model 17 vs 1","adni","","PTAU.bl","-0.0873566867013156","0.238147082569573","-0.0208218921059524","0.865370266041688"
"8","model 17 vs 1","adni","","TAU.bl","-0.847299086820158","0.210557673763564","-0.319138054130765","0.774679569784486"
"9","model 17 vs 1","adni","","ABETA.bl","2.45771721666279","0.35321944415028","-1.11756387869344","0.801288921787627"
"10","model 17 vs 1","adni","","COMBINED PVALUES","8","0.00121747288182544","8","0.178417646226844"
"11","model 17 vs 1","adni","_memory","EcogSPMem.bl","-0.00636553800922905","0.117532441441214","-0.00701448993641628","0.305621858384393"
"12","model 17 vs 1","adni","_memory","MMSE_RECALL.bl","-0.00555802368731337","0.197503394246776","-0.00465932437720842","0.512273825796132"
"13","model 17 vs 1","adni","_memory","ADAS_MEMORY.bl","-0.0686371115050196","0.00959128586360661","-0.0669242455442663","0.131975990094389"
"14","model 17 vs 1","adni","_memory","MOCA_MEMORY.bl","0.0215552334359598","0.333110089676349","0.0564232862275102","0.129603414529699"
"15","model 17 vs 1","adni","_memory","CDMEMORY.bl","-0.00253920085597192","0.0846982696380672","-0.00189072715534972","0.443450601782187"
"16","model 17 vs 1","adni","_memory","COMBINED PVALUES","5","0.00283559079193766","5","0.100040427719832"
"17","model 17 vs 1","adni","_language","EcogSPLang.bl","-0.00133690104820515","0.680138505220449","0.000822415611892862","0.88098773123403"
"18","model 17 vs 1","adni","_language","MMSE_LANGUAGE.bl","-0.00229643381531951","0.436925184708462","0.00282484389911737","0.562967364121848"
"19","model 17 vs 1","adni","_language","ADAS_LANGUAGE.bl","-0.0051742484041519","0.212040001798715","-0.0133443786702029","0.065864763561108"
"20","model 17 vs 1","adni","_language","MOCA_LANGUAGE.bl","-0.0159427257997029","0.547839073899377","-0.0247314078756897","0.581195497290113"
"21","model 17 vs 1","adni","_language","COMBINED PVALUES","4","0.42664534231959","4","0.50719492151317"
"22","model 17 vs 1","adni","_orientation","MMSE_ORIENTATION.bl","-0.00182614639837028","0.624884026769884","-0.0047895119388822","0.455857291554642"
"23","model 17 vs 1","adni","_orientation","ADAS_ORIENTATION.bl","0.00042447179418405","0.90819803180042","-0.000278243587259975","0.965850659965794"
"24","model 17 vs 1","adni","_orientation","MOCA_ORIENTATION.bl","0.00104226876683282","0.706153253234704","0.00220225645376353","0.649718909853905"
"25","model 17 vs 1","adni","_orientation","CDORIENT.bl","-0.00270439384053223","0.0452353236170676","-0.00353764650734611","0.121842678609568"
"26","model 17 vs 1","adni","_orientation","COMBINED PVALUES","4","0.598190966977932","4","0.679193959218619"
"27","model 17 vs 1","adni","_visuospatial","EcogSPVisspat.bl","-0.00615998949218721","0.0219639171892523","-0.00331986848073297","0.463989914959214"
"28","model 17 vs 1","adni","_visuospatial","ADAS_VISUOSPATIAL.bl","3.22356258936714e-05","0.991362682844151","-0.00216521220543212","0.666842899005307"
"29","model 17 vs 1","adni","_visuospatial","MOCA_VISUOSPATIAL.bl","0.0110542146734211","0.0329420724783868","0.00844359147875236","0.340098934660929"
"30","model 17 vs 1","adni","_visuospatial","COMBINED PVALUES","3","0.197512196046907","3","0.48356651854253"
"31","model 17 vs 1","adni","_execfunc","EcogSPEF.bl","-0.00509852690127024","0.101688566393837","-0.00520663707437171","0.330126105598668"
"32","model 17 vs 1","adni","_execfunc","MMSE_ATTCALC.bl","-0.00232310278684149","0.606669461900835","-0.0011865054648202","0.881037476027858"
"33","model 17 vs 1","adni","_execfunc","MOCA_EF.bl","0.00205791959640792","0.828898972131491","0.0156416830140377","0.329924928173592"
"34","model 17 vs 1","adni","_execfunc","CDJUDGE.bl","-0.00104040692177309","0.470438922903809","-0.00277615279832052","0.249213021059199"
"35","model 17 vs 1","adni","_execfunc","COMBINED PVALUES","4","0.474946341908884","4","0.425347242299481"
"36","model 17 vs 2","adni","","MMSE.bl","0.0166264327499657","0.0664979370112026","0.00423622980364744","0.777364651028294"
"37","model 17 vs 2","adni","","CDRSB.bl","-0.0104974633849007","0.0571575222375569","-0.00826028645400604","0.354003457925738"
"38","model 17 vs 2","adni","","EcogSPTotal.bl","-0.00458017723264841","0.163006808426634","-0.00145535631086107","0.785047388997874"
"39","model 17 vs 2","adni","","ADAS13.bl","-0.0751432773920819","0.0265508872438052","-0.0801907444704879","0.146050091509129"
"40","model 17 vs 2","adni","","MOCA.bl","0.0210754354246355","0.22721256390993","0.0417331096143052","0.134006952104656"
"41","model 17 vs 2","adni","","GDTOTAL.bl","0.00490621709956976","0.562992653395245","-0.00370607184541872","0.795088040710274"
"42","model 17 vs 2","adni","","PTAU.bl","-0.0989922760070014","0.217636471645523","-0.181472999741933","0.153206008442992"
"43","model 17 vs 2","adni","","TAU.bl","-0.907655819511029","0.216010304768546","-1.72937456917625","0.137663857041428"
"44","model 17 vs 2","adni","","ABETA.bl","3.92040595418159","0.173247757646341","-0.890405568705838","0.847596316905442"
"45","model 17 vs 2","adni","","COMBINED PVALUES","8","0.00213055628604397","8","0.347649026784977"
"46","model 17 vs 2","adni","_memory","EcogSPMem.bl","-0.00627212210596088","0.157134857027536","-0.00349739231160344","0.625882460441102"
"47","model 17 vs 2","adni","_memory","MMSE_RECALL.bl","-0.00759366283707622","0.107896025332065","-0.00590218299827198","0.444264889500021"
"48","model 17 vs 2","adni","_memory","ADAS_MEMORY.bl","-0.0685311429010189","0.0178885807090574","-0.0667702747901677","0.156663178533929"
"49","model 17 vs 2","adni","_memory","MOCA_MEMORY.bl","0.0271593446306804","0.265975196686728","0.0536875041592555","0.166624267723778"
"50","model 17 vs 2","adni","_memory","CDMEMORY.bl","-0.00234333663843241","0.144764343388831","-0.00049761724366444","0.848546908742548"
"51","model 17 vs 2","adni","_memory","COMBINED PVALUES","5","0.0035121932516244","5","0.366158770032011"
"52","model 17 vs 2","adni","_language","EcogSPLang.bl","-0.00344008278402656","0.331885164344135","-0.000571291811803068","0.922177520602135"
"53","model 17 vs 2","adni","_language","MMSE_LANGUAGE.bl","-0.00361475546267651","0.26342756833172","0.000284748843754299","0.95526295024393"
"54","model 17 vs 2","adni","_language","ADAS_LANGUAGE.bl","-0.00361669066708434","0.425307255884402","-0.00643348496326983","0.40004632253252"
"55","model 17 vs 2","adni","_language","MOCA_LANGUAGE.bl","-0.0199535423597653","0.491955421357926","-0.0281962294717918","0.553278521579341"
"56","model 17 vs 2","adni","_language","COMBINED PVALUES","4","0.261732266124535","4","0.933113243121154"
"57","model 17 vs 2","adni","_orientation","MMSE_ORIENTATION.bl","0.000331748612421976","0.935279445499473","-0.000834383254029557","0.903095816503963"
"58","model 17 vs 2","adni","_orientation","ADAS_ORIENTATION.bl","0.00207300679181378","0.607729581936653","0.00507890329784099","0.458477111439015"
"59","model 17 vs 2","adni","_orientation","MOCA_ORIENTATION.bl","-0.000625147081267153","0.83597027140693","-0.000800479534047884","0.875064662137803"
"60","model 17 vs 2","adni","_orientation","CDORIENT.bl","-0.00242116242671921","0.101071140268863","-0.00128596302820285","0.601509803515234"
"61","model 17 vs 2","adni","_orientation","COMBINED PVALUES","4","0.772207686385813","4","0.903460129479644"
"62","model 17 vs 2","adni","_visuospatial","EcogSPVisspat.bl","-0.00637604333261382","0.0296925441989644","-0.00239930336721348","0.612533359337734"
"63","model 17 vs 2","adni","_visuospatial","ADAS_VISUOSPATIAL.bl","0.0013178816830922","0.685865587273982","0.00273016537079619","0.597449610518527"
"64","model 17 vs 2","adni","_visuospatial","MOCA_VISUOSPATIAL.bl","0.0114818012173057","0.0428746625473833","0.00719543461489695","0.439112313496204"
"65","model 17 vs 2","adni","_visuospatial","COMBINED PVALUES","3","0.035851328619007","3","0.586706425103297"
"66","model 17 vs 2","adni","_execfunc","EcogSPEF.bl","-0.00537076492951025","0.114220993106621","-0.00335189956021911","0.539527111850903"
"67","model 17 vs 2","adni","_execfunc","MMSE_ATTCALC.bl","-0.00307873526031422","0.532935497104838","0.00485858894777079","0.52695363077971"
"68","model 17 vs 2","adni","_execfunc","MOCA_EF.bl","-0.0002117657028589","0.98378239781687","0.00882856716746207","0.598048865215123"
"69","model 17 vs 2","adni","_execfunc","CDJUDGE.bl","-0.00105580339989985","0.502893164479964","-0.00250194829270832","0.33096912968583"
"70","model 17 vs 2","adni","_execfunc","COMBINED PVALUES","4","0.6957666941955","4","0.495595370869614"
"71","model 17 vs 3","adni","","MMSE.bl","0.0182138347200314","0.0760221477730441","0.016363302780551","0.254761300596012"
"72","model 17 vs 3","adni","","CDRSB.bl","-0.0143656714582686","0.0214598790960498","-0.0162935852914163","0.0595800764122169"
"73","model 17 vs 3","adni","","EcogSPTotal.bl","-0.00635799557010842","0.0873813697383686","-0.00429971182974692","0.411560156798047"
"74","model 17 vs 3","adni","","ADAS13.bl","-0.0903579614843756","0.0182325420500382","-0.0605750979449913","0.252084497339139"
"75","model 17 vs 3","adni","","MOCA.bl","0.0163365887147929","0.406712909947197","0.00395783110894722","0.88235726642895"
"76","model 17 vs 3","adni","","GDTOTAL.bl","0.0129110224836031","0.178052410758159","0.00140036461852607","0.916267735323641"
"77","model 17 vs 3","adni","","PTAU.bl","-0.100983849381802","0.256368662337808","-0.0307797563225464","0.811366722952327"
